score,title,url
4.8,Mouse de juego Logitech  G Series G300S negro,https://www.mercadolibre.com.ar/mouse-de-juego-logitech-g-series-g300s-negro/p/MLA15175650?pdp_filters=category:MLA1714#searchVariation=MLA15175650&position=44&search_layout=stack&type=product&tracking_id=fa5bdf2b-6506-4412-b403-4f953d8415f0
4.7,Mouse vertical inalámbrico recargable Logitech  MX Vertical negro,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=z8TQWnXPMTLZoXTZQ%2FC398xCc1l1TRQ4Zz56Co6kwuIKKXN94UWByegbeDATrsJCPDrjMW3Y3PohUcdFpt369Lk%2F%2B0H02XsEYZ7HqtFPlKIzS3e0Pc7%2FFVn8X4gZAH4BMQi2LXLRvvlD6F3NpxbRXWWDG8Q7Tp0wwJVmz96VcF5IPBP1KISM2tT9vVKPtBtGFWiWA%2F0MBkdqIlIZBU6UTBpKuZB5dVJrgDDEThp9JpZx%2B%2BcIBA4HidcSGaMTmxrwxt1hYidGFW%2BUwx7xPYN7myioTx1IKZIcNNPycWeCZvMA0n%2Fy%2FDU%2F26Epg0IwVyWXKw2q3UUgm3XAOTbnqdqfTBZCiFVujRU6h86q7elLIT%2FF5NbkA0B7pnAMxHXp6wZTydjYNODs8nwvSi4CvM7tP%2F8lhEY1l%2FJwcMrmQ8FZ0WSBUaPmfaFjrGm%2FFzI1ddcfyxqiWE4twOcDxNQPgnju9vnDT6eMCIbjAuuJ7BVqY6tvtBbaA%2FBkz7ModJqu0ZBPlzq%2BtLFKizK1P%2BH%2FByZXN8XT78UqapbKUs9iNFD0lCAeDdoZmrAKFDdgT%2BLPMXmH8D58kZLqMQxMjuHtGfC9SFGuyS3DGN7EBHkqUxjm283U56ZxDj4xjCqDBiOL35I%2BBOy3VCBjFssUkEXlQd3z%2BFjlWNAw03095ziYOQ74H56AcD6h7VfdCsfij2zYz0DuQtxaDptiqE%2B9pxdA3%2B8rcf9pHeH9TjupwqzS6MA71nLJyVR09Xw%2BpfGV50xZcAk%2FwNggfOUJqVtMr%2Fn%2B0JitUTMQBBgC01WIHPgfGL0yqmnBsfG3e9LRJczKM%2BpSCITItZF8WY0SF6x3azq1eH0%2B6u6tDU%2FLA9ouQ9KkWhkkO%2B8lwUydAT59%2B%2Bo9%2F3pD2%2BvV63IejQEq3HD7Bhc1Fp0lFbYgr6HLirw6NeBvNbC3o4nDkA%2BFdT5cXjoXaRLK9q6o5uJS8XmQyQ2zRf7NSpd96f8FKyVe6wLZoRHCE8OfllIRMTJz5RvlzSqAGk91jp%2F9f0D00%2BMiJ61sayUKCfNzL9hRm8w7MwacGL9hwhKnx7EuJ7JKq1mSGqECYQ%2BEAwvodD6kFYbnH668lWBDAmoPnwVveXmZlkG7Gb2yjxe5AWNk%2BWbvvfvLMNLZef3M%2B9wnU4EVjdrnwrbmH11dzvN3ubzCGXNBFQkuLPaALo%2BQmMUQzcbhmuWLqu8UCtJ8Hn1itBtzLVZEz%2F%2BPduPz5zIz8gA3uPuIcvookauUxzBPheMNGhBYqiruZoNom18mAXTJvs%2FbJUD7K7R6QDuIVWJveIpxYxJN5HWPEtSvg%2F9gYIZtyt240Vpdy0I1IOpD9eaRzkYr6n2QIhXwjsxKjM%2F3mp490tscDnehKRb82v2LBROfn2Qhz1GSmt1EPlTGlgdTPCIxrigZrVgzB%2BBsCh7DJCVxtDm5TXZdbWL25eTSy4Nu7XkTk2jk5%2FASFKBOyQlNswfeTOIIpeplj7atYbfzK6TEoSeqi%2F1p%2BKKvJv1BWNstGB3nptdsaUiASB5d2L5IJbaS5ileY%2BoNGwApy%2FzxQOFyEUBq%2BC4vx4YFiASChPzSjCXFjBVCcwp6TFaTMyM9IkPU%2BQYUWCjRApZhEqgByxXGLAPo08FXdFwxyZa%2BNy%2B359F8nXRxeh9Uc8%2FKDLjkfut9jT7MnXxpMwAmV3glGWvToQYp6he%2FLTz%2B%2FCWe1OPou7BQ4UTX3O5SR6RBTo1LviohYHBHf558suJHnQLR9%2F8IgHVeL%2BYvwJgBLijc4TIVAalhPGV4x8Ql9GYHNCe02XsavFsVdRiBT%2FwlAxrni1a1IFHeHz4b9Nf0YgnLAaNRtw%3D%3D
4.9,Mouse de juego inalámbrico recargable Logitech  Pro Series Pro X Superlight negro,https://www.mercadolibre.com.ar/mouse-de-juego-inalambrico-recargable-logitech-pro-series-pro-x-superlight-negro/p/MLA17406840?pdp_filters=category:MLA1714#searchVariation=MLA17406840&position=16&search_layout=stack&type=product&tracking_id=fa5bdf2b-6506-4412-b403-4f953d8415f0
4.8,Mouse de juego inalámbrico recargable Logitech  G Series Lightspeed G903 negro,https://www.mercadolibre.com.ar/mouse-de-juego-inalambrico-recargable-logitech-g-series-lightspeed-g903-negro/p/MLA8752182?pdp_filters=category:MLA1714#searchVariation=MLA8752182&position=49&search_layout=stack&type=product&tracking_id=fa5bdf2b-6506-4412-b403-4f953d8415f0
4.8,Mouse inalámbrico Logitech  M170 negro,https://www.mercadolibre.com.ar/mouse-inalambrico-logitech-m170-negro/p/MLA15144095?pdp_filters=category:MLA1714#searchVariation=MLA15144095&position=7&search_layout=stack&type=product&tracking_id=fa5bdf2b-6506-4412-b403-4f953d8415f0
4.8,Mouse de juego inalámbrico Logitech  G Series Lightspeed G305 blue,https://www.mercadolibre.com.ar/mouse-de-juego-inalambrico-logitech-g-series-lightspeed-g305-blue/p/MLA16241538?pdp_filters=category:MLA1714#searchVariation=MLA16241538&position=28&search_layout=stack&type=product&tracking_id=fa5bdf2b-6506-4412-b403-4f953d8415f0
4.8,Mouse inalámbrico Logitech  Triathlon M720 negro,https://www.mercadolibre.com.ar/mouse-inalambrico-logitech-triathlon-m720-negro/p/MLA6280169?pdp_filters=category:MLA1714#searchVariation=MLA6280169&position=29&search_layout=stack&type=product&tracking_id=fa5bdf2b-6506-4412-b403-4f953d8415f0
4.8,Mouse de juego inalámbrico recargable Logitech  G Series Lightspeed G903 negro,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=qlSlD1McE8lQU8F%2BJdLJUy6m4l8hl4zirzjHj4j9OQvQw4WbllpWXdOoWkjvBsRUtOmYX3W%2F81enWEjWx3Gzc6SsVJWofYLtCIYmkhD9NxMCr2TPzkk%2BRh4ruH1dXG9azxabedRUud2PgXSbTpHbe0pOFit2hEfMCMTPkIrSEfz8td2ivKXN6U2E3XlvTD7ZHZKrvRYuPU1OiUT7%2B1a7jF%2FMrQq811Gk%2FhxkBPXOV1DmExrPjAzmksDgRboXWKsWlgAtNx3wfQHIZW%2F7ukKnNjMxNqegUs45D10AiWi67s0kYSjrT%2F3eg502iPErV8bQPFYL%2B16ifMOUq%2FZ%2FYY20DLGTf42k5Fy7GsYq%2BtqebMQjmfZmfvbF2bKAnjD71wRi7SEb4QsmQzdz%2BpJtgnL201bTIDUSezlirD%2ByRzxN8AotRmDQTPmO%2BAr4vYzFm2%2B%2F9DBSaCSjxzEPi0VMqqsTZsEXb2ydaNcTao3GMJ8R4uo8UdkxvhyQEMWN8b2fGfpIqQtGfoYppbPF%2BFl1k60k9qrJ0mPECWO0XMuniCeUrWhGsRj121iK65kNdWO%2BQOrYS%2BIR%2F5coofks0LMPH8xDVzbXl7GAoVzKai2SA1DYalC7myTWPgkFZeUBQF6208w9YHpYgvPD5SAkXVMlOkj6TI9lMgpcleURJWOeNxWTTdHqum8Fn30%2Frnu%2BnF78NWpa8bZbtB5lHdgs2HYqzmAGJkDYUILkA%2FRLOZCGS26%2BBCpkCW9cxg6Yyfl2lpfYke2DeSWBlhG%2B1E7newAuQk2JhJOifxDRlc5CgnUXyob27ynjfOBJ64Wkrisie59j4b8llgWgQgZn6bsNbbxvDwtvhehm%2F2kkNtpX5TwQNjOjbWMDh%2BzgG%2Fg5DpOV4W0DTE%2BLBfK9stsYyEvFMJxOajOLWkcRqhjanDxmF9v4ewMYpAZPYtOoKQOuQBlaBkoOCTm3cpEn%2FQPE7ptYtr51Q%2FSVqtLvgq%2Bf9gH8ENfVPvdcW36Z1kSuOobfswoEBBfKWy7b4qTBIWEthDaSHxhzB5LnAFa1l4hAJNUxJpTUwH0Oe1A5H1cNHNxHCss1qWP%2FBNUsNbAbBdocco%2FHcgBVncEuYnanoCAYnRurmvsqyY0%2BfiNZztTg2p3fxBuGWo6TmSOB7uD39AqYKOFD8gzUzZ7xgz1go4YWpaf8CS2DYpXWLt96i5eCLQdFUoqls6WxJYbJOgRGE0X38jZhbfnWD6szG2a98E92Pm%2BnHmskYokIqp7fggXgVaulK3hX4Qa1cg8%2BrFVG6JHPx5mvBnk6rw1O5nay09SkQhDMgBRkUHInYNeDDuerl5k699a1pggx9ZSFTGUfOJ5%2BKWOolYZwpS4fcijJcZp6uyDvKnapTENcGX%2BuaA28L0D9zT2vWvSOdY2L0QiE9T9sV9s8p0L6HJRsuc5nlR%2Fl5T39SEL2XcU8DVOhxNIwtzW2%2BINXGz476%2FZpBFw%2BVNGN3ZTmyF%2FgOPleSz07Kxh6SCeH1ZUDVVsX%2BjqHmTd5hE3T%2BS%2Bd2QkdSHo1Js8ryuNGX6Z8c5bxdzGOj5qPUgflHNRchLAxMdYg3x%2BPCcjKOITnFdHPvYg16oV7j8nbiFiAVoQ54eGkiha9E4L14Y%2BJkSVCYdwPfmJBjDdj15KnnUBdFvrFtJqmGpQuoG2GPuGhSKQdebiC0rKUFD3ZdieY9s7eWYtpHZdZqMV3f9kiVWl3xhx45lbZpJRj%2Bzl7WLybG5xyEn%2BvWMg5y5QPrhh8xpWkpyq81F%2FXGPr%2FMvfCCSuSWyIVNwNqiEzU57OrgMnJ%2BTX8xjEEC4xL3ReXyWlwU307TQQRjTb4gjCip9Xgdw7HhyMgsnXF
4.8,Mouse de juego inalámbrico Logitech  G Series Lightspeed G305 lilac,https://www.mercadolibre.com.ar/mouse-de-juego-inalambrico-logitech-g-series-lightspeed-g305-lilac/p/MLA16241539?pdp_filters=category:MLA1714#searchVariation=MLA16241539&position=26&search_layout=stack&type=product&tracking_id=fa5bdf2b-6506-4412-b403-4f953d8415f0
4.8,Mouse de juego Logitech  G Series Hero G403 negro,https://www.mercadolibre.com.ar/mouse-de-juego-logitech-g-series-hero-g403-negro/p/MLA15755061?pdp_filters=category:MLA1714#searchVariation=MLA15755061&position=43&search_layout=stack&type=product&tracking_id=fa5bdf2b-6506-4412-b403-4f953d8415f0
